"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Impressões,Alcance,Término,"Configuração de atribuição","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-09-24,2026-09-24,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,1.96,208,198,Contínuo,—,,
2026-09-24,2026-09-24,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,11,actions:link_click,0.45909091,6,Diário,5.05,500,468,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-24,2026-09-24,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,38,actions:link_click,0.15552632,6,Diário,5.91,944,858,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-23,2026-09-23,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,0,0,0,Contínuo,—,,
2026-09-23,2026-09-23,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,14,actions:link_click,0.28428571,6,Diário,3.98,861,844,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-23,2026-09-23,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,32,actions:link_click,0.1571875,6,Diário,5.03,617,604,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-22,2026-09-22,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,0,0,0,Contínuo,—,,
2026-09-22,2026-09-22,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,22,actions:link_click,0.25272727,6,Diário,5.56,1743,1632,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-22,2026-09-22,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,34,actions:link_click,0.15941176,6,Diário,5.42,968,947,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-21,2026-09-21,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,0,0,0,Contínuo,—,,
2026-09-21,2026-09-21,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,28,actions:link_click,0.20964286,6,Diário,5.87,1633,1571,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-21,2026-09-21,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,33,actions:link_click,0.18242424,6,Diário,6.02,1207,1159,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-20,2026-09-20,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,0,0,0,Contínuo,—,,
2026-09-20,2026-09-20,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,42,actions:link_click,0.24190476,6,Diário,10.16,2669,2451,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-20,2026-09-20,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,55,actions:link_click,0.18054545,6,Diário,9.93,1599,1478,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-19,2026-09-19,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,0,0,0,Contínuo,—,,
2026-09-19,2026-09-19,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,22,actions:link_click,0.25545455,6,Diário,5.62,1147,1121,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-19,2026-09-19,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,36,actions:link_click,0.19444444,6,Diário,7,1504,1456,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-18,2026-09-18,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,0,0,0,Contínuo,—,,
2026-09-18,2026-09-18,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,26,actions:link_click,0.19038462,6,Diário,4.95,1104,1091,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-09-18,2026-09-18,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,24,actions:link_click,0.2275,6,Diário,5.46,1418,1353,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
